,index,ID,strategy,label
0,1180,3124.0,what will it change?,4.0
1,1182,3124.0,He is doing amazingly well and now we understand him better  ,4.0
2,1172,3124.0,They school have said because he is not suffering academically there is nothing they can do. ,4.0
3,1160,3124.0,My son is 7 in July ,4.0
4,1181,3124.0," Including his father, my husband. ",4.0
5,1175,3124.0,"I meant iPad, silly corrective spelling!",4.0
6,1162,3124.0,He had very little impulse control when it comes to his behaviour in class and at home. ,4.0
7,1165,3124.0,"he fidgets, he continuously talks when asked not to and does not listen.",4.0
8,1176,3124.0,"Apologies for my absence, ",4.0
9,1175,3124.0,"I meant iPad, silly corrective spelling!",4.0
10,1168,3124.0, he will continually insist on having the last work or making the last sound. ,4.0
11,1181,3124.0," Including his father, my husband. ",4.0
12,1162,3124.0,He had very little impulse control when it comes to his behaviour in class and at home. ,4.0
13,1161,3124.0,"he is book smart and having no academic issues what so ever, ",4.0
14,1174,3124.0,I do not want to label him but now I'm not sure I have a choice.,4.0
15,1177,3124.0,I have had my messages and notifications I have not read. ,4.0
16,1165,3124.0,"he fidgets, he continuously talks when asked not to and does not listen.",4.0
17,1171,3124.0, If he used the I bad he flaps and or wiggles his fingers constantly. ,4.0
18,1183,3124.0,we are all the better for it. ,4.0
19,1170,3124.0,(the latter of which is restricted to infrequent use).,4.0
20,1185,3124.0,in our case if was definitely the right thing to do!,4.0
21,1173,3124.0, I'm nervous about going to the doctor  ,4.0
22,1184,3124.0,Yes it can be horrible to label children ,4.0
23,1178,3124.0,"Update, my boy has been officially diagnosed as autistic. ",4.0
24,1168,3124.0, he will continually insist on having the last work or making the last sound. ,4.0
25,1177,3124.0,I have had my messages and notifications I have not read. ,4.0
26,1186,3124.0,Also thank you for all the advice and messages of understanding and support. ,4.0
27,1164,3124.0,"he cannot sit still, ",4.0
28,1179,3124.0,"A lot of people have asked my why bother seeking a diagnosis, ",4.0
29,1160,3124.0,My son is 7 in July ,4.0
30,1163,3124.0,He is several years ahead academically ,4.0
31,1159,3124.0,I'm at my wits end! ,4.0
32,1164,3124.0,"he cannot sit still, ",4.0
33,1184,3124.0,Yes it can be horrible to label children ,4.0
34,1167,3124.0," like a toddler and you cannot reason with him, ",4.0
35,1172,3124.0,They school have said because he is not suffering academically there is nothing they can do. ,4.0
36,1178,3124.0,"Update, my boy has been officially diagnosed as autistic. ",4.0
37,1163,3124.0,He is several years ahead academically ,4.0
38,1166,3124.0, If you change his routine or say he can't have something he behaves completely irrationally,4.0
39,1173,3124.0, I'm nervous about going to the doctor  ,4.0
40,1180,3124.0,what will it change?,4.0
41,1183,3124.0,we are all the better for it. ,4.0
42,1174,3124.0,I do not want to label him but now I'm not sure I have a choice.,4.0
43,1166,3124.0, If you change his routine or say he can't have something he behaves completely irrationally,4.0
44,1169,3124.0,He is very excitable and cannot sit still whilst reading or playing a video game ,4.0
45,1182,3124.0,He is doing amazingly well and now we understand him better  ,4.0
46,1170,3124.0,(the latter of which is restricted to infrequent use).,4.0
47,1167,3124.0," like a toddler and you cannot reason with him, ",4.0
48,1161,3124.0,"he is book smart and having no academic issues what so ever, ",4.0
49,1176,3124.0,"Apologies for my absence, ",4.0
50,1185,3124.0,in our case if was definitely the right thing to do!,4.0
51,1169,3124.0,He is very excitable and cannot sit still whilst reading or playing a video game ,4.0
52,1159,3124.0,I'm at my wits end! ,4.0
53,1186,3124.0,Also thank you for all the advice and messages of understanding and support. ,4.0
54,1171,3124.0, If he used the I bad he flaps and or wiggles his fingers constantly. ,4.0
55,1179,3124.0,"A lot of people have asked my why bother seeking a diagnosis, ",4.0
56,2331,733,We need money to travel.,4.0
57,2313,733,Need money to do them.,4.0
58,2318,733,Not do chores.,4.0
59,2329,733,Try to go to restaurants that serve quickly so he doesn't melt down,0.0
60,2316,733,Needs one on one parent to engage him.,4.0
61,2307,733,Have to come up with new and better reinforcers.,2.0
62,2336,733,"Wish we had more free time for fun outings, but can't with all the therapy.",4.0
63,2325,733,Requires one on one supervision.,4.0
64,2324,733,Reinforcers,2.0
65,2311,733,Money to pay for programs,0.0
66,2319,733,Not sure how to get him to engage more socially.,4.0
67,2312,733,"Most play has to be modeled, and we are busy with meal prep, etc.",0.0
68,2326,733,"Schedule board with visual images of the steps required to go to bed: toilet, sink, book, bed.",0.0
69,2332,733,We need more time and cooler weather to do the park.,4.0
70,2320,733,Offer reinforcers,2.0
71,2303,733,Close supervision when helping make food.,0.0
72,2310,733,Money and time would allow him to do activities.  Therapy for himself and his brother prevents us from doing activities and me from working.,4.0
73,2304,733,Explain what we're doing next.,0.0
74,2335,733,Wish our children's health didn't require so many doctor appointments. Try to schedule them when he isn't too tired.,0.0
75,2321,733,Offering a dance party when all the toys are picked up.,2.0
76,2302,733,"Close supervision allows more craft projects, but not realistic time-wise.",0.0
77,2333,733,We need time apart from therapies to go to the park.,4.0
78,2322,733,One on one direction from an adult,0.0
79,2330,733,We have little time and money for outings.,4.0
80,2306,733,Grandparents play with him and talk to him.,0.0
81,2334,733,"While not our preference, some tv time is necessary for parental  sanity.",0.0
82,2308,733,He needs help staying occupied.,4.0
83,2327,733,Setting up an activity for the children to do together (run races).,0.0
84,2315,733,Needs close supervision.,4.0
85,2317,733,Needs reinforcer.,4.0
86,2314,733,Need more time in day aside from therapy.,4.0
87,2323,733,Overnight at a friends house was stressful. Needed more structure.,4.0
88,2305,733,Fewer hours in therapy,0.0
89,2309,733,He needs to be without his older brother. One on one with adult is best.,0.0
